"No.", "Time"     , "Source"          , "Destination"     , "Protocol", "Length", "Info"
"2"  , "1.474917" , "10.0.0.1"        , "10.0.0.2"        , "ICMP"    , "74"    , "Echo (ping) request  id=0x0001, seq=37/9472, ttl=128 (reply in 3)"
"3"  , "1.475161" , "10.0.0.2"        , "10.0.0.1"        , "ICMP"    , "74"    , "Echo (ping) reply    id=0x0001, seq=37/9472, ttl=128 (request in 2)"
"5"  , "2.481117" , "10.0.0.1"        , "10.0.0.2"        , "ICMP"    , "74"    , "Echo (ping) request  id=0x0001, seq=38/9728, ttl=128 (reply in 6)"
"6"  , "2.481355" , "10.0.0.2"        , "10.0.0.1"        , "ICMP"    , "74"    , "Echo (ping) reply    id=0x0001, seq=38/9728, ttl=128 (request in 5)"
"8"  , "3.489686" , "10.0.0.1"        , "10.0.0.2"        , "ICMP"    , "74"    , "Echo (ping) request  id=0x0001, seq=39/9984, ttl=128 (reply in 9)"
"9"  , "3.489936" , "10.0.0.2"        , "10.0.0.1"        , "ICMP"    , "74"    , "Echo (ping) reply    id=0x0001, seq=39/9984, ttl=128 (request in 8)"
"11" , "4.500351" , "10.0.0.1"        , "10.0.0.2"        , "ICMP"    , "74"    , "Echo (ping) request  id=0x0001, seq=40/10240, ttl=128 (reply in 12)"
"12" , "4.500628" , "10.0.0.2"        , "10.0.0.1"        , "ICMP"    , "74"    , "Echo (ping) reply    id=0x0001, seq=40/10240, ttl=128 (request in 11)"
"26" , "15.316816", "2001:cafe:1:1::1", "2001:cafe:1:1::2", "ICMPv6"  , "94"    , "Echo (ping) request id=0x0001, seq=9, hop limit=128 (reply in 27)"
"27" , "15.317052", "2001:cafe:1:1::2", "2001:cafe:1:1::1", "ICMPv6"  , "94"    , "Echo (ping) reply id=0x0001, seq=9, hop limit=128 (request in 26)"
"29" , "16.327848", "2001:cafe:1:1::1", "2001:cafe:1:1::2", "ICMPv6"  , "94"    , "Echo (ping) request id=0x0001, seq=10, hop limit=128 (reply in 30)"
"30" , "16.328104", "2001:cafe:1:1::2", "2001:cafe:1:1::1", "ICMPv6"  , "94"    , "Echo (ping) reply id=0x0001, seq=10, hop limit=128 (request in 29)"
"31" , "17.332213", "2001:cafe:1:1::1", "2001:cafe:1:1::2", "ICMPv6"  , "94"    , "Echo (ping) request id=0x0001, seq=11, hop limit=128 (reply in 32)"
"32" , "17.332480", "2001:cafe:1:1::2", "2001:cafe:1:1::1", "ICMPv6"  , "94"    , "Echo (ping) reply id=0x0001, seq=11, hop limit=128 (request in 31)"
"34" , "18.349833", "2001:cafe:1:1::1", "2001:cafe:1:1::2", "ICMPv6"  , "94"    , "Echo (ping) request id=0x0001, seq=12, hop limit=128 (reply in 35)"
"35" , "18.350093", "2001:cafe:1:1::2", "2001:cafe:1:1::1", "ICMPv6"  , "94"    , "Echo (ping) reply id=0x0001, seq=12, hop limit=128 (request in 34)"
"37" , "20.062627", "2001:cafe:1:1::2", "2001:cafe:1:1::1", "ICMPv6"  , "86"    , "Neighbor Solicitation for 2001:cafe:1:1::1 from fc:4c:ea:80:c5:a1"
"38" , "20.066353", "2001:cafe:1:1::1", "2001:cafe:1:1::2", "ICMPv6"  , "86"    , "Neighbor Advertisement 2001:cafe:1:1::1 (sol, ovr) is at bc:fc:e7:02:7b:82"
"39" , "20.137588", "2001:cafe:1:1::1", "2001:cafe:1:1::2", "ICMPv6"  , "86"    , "Neighbor Solicitation for 2001:cafe:1:1::2 from bc:fc:e7:02:7b:82"
"40" , "20.137856", "2001:cafe:1:1::2", "2001:cafe:1:1::1", "ICMPv6"  , "86"    , "Neighbor Advertisement 2001:cafe:1:1::2 (sol, ovr) is at fc:4c:ea:80:c5:a1"
